"Module" "Cluster" "Function" "Genes"
"M13.27" "A1" "B cells" "CD247, CD3D, CD5, CD6, CD96, DKFZP761P0423, FCMR, GIMAP5, HS.534427, HS.554324, HS.560343, IL7R, DENND11, KLF12, LBH, LCK, LEF1, LRFN3, LY9, MAP4K1, PLEKHA1, PTPN4, PVRIG, SBK1, SH2D1A, SKAP1, SPOCK2, TNFRSF25, TRAF5, TRAT1, UBASH3A, ZAP70, ZNF831"
"M13.28" "A1" "Protein synthesis" "EEF1A1, LOC387841, LOC389435, LOC401019, LOC401206, LOC402057, LOC440733, LOC441034, LOC642210, LOC650276, LOC652071, NACA, RPL11, RPL3, RPL30, RPL32, RPL38, RPL39, RPL6, RPLP1, RPLP2, RPS10, RPS11, RPS17, RPS19, RPS24, RPS25, RPS27A, RPS29"
"M13.29" "A2" "Protein modification" "ABCF1, AKR7A3, ARL6IP4, BCL2L12, BRPF1, ATG101, UBR7, ANTKMT, FAAP20, AAR2, CISH, NELFB, COPS6, CRELD1, DHX30, DPM3, ERCC3, TTC38, GMPPA, GPR172A, GTF2F1, H1-10, HMGA1, HSD17B10, CCAR2, LOC731314, MCM5, ARMH1, MIB2, MPV17, MRPS5, NCBP1, NDUFA10, NFATC3, ORAI1, P2RX4, PBXIP1, PHF1, PITRM1, POLA2, PTPN7, PYGB, RCN1, RNF121, SAC3D1, SELENON, SH3BP1, SLC25A1, SLC35A4, SLC35B2, SLC35C2, SNRPA, SSBP4, TERF2, TESK1, TMEM39B, TMEM63A, TRIM26, EIPR1, WDR46, YEATS2, ZFPM1, ZFYVE19, ZNF263, ZNF324"
"M13.3" "A35" "TBD" "ACSS2, ANKRD33, APH1B, ATF6, ATG7, B9D2, FHIP1B, HAUS4, C9ORF72, MICU1, CD82, ARAP1, CFP, CORO1C, CSF2RA, CTNNA1, CTSD, CUX1, ASAP1, SLC49A4, DJ341D10.1, EDEM2, ELL, ENTPD1, ERO1A, ETS2, ETV6, EXOC6, UBALD2, NIBAN2, FBXO38, FERMT3, FKBP5, G6PD, GADD45A, GAS7, GBA, GBE1, GNA15, GNAI3, GNB2, HDAC4, MFSD14B, HK2, HLX, HMGB2, HSDL2, IER3, IRS2, KBTBD7, KIAA0513, LOC644642, LOC728069, LPGAT1, LRRC25, LRRFIP2, LTB4R, MAP3K2, MAPK1, MEGF9, MICAL1, MSRA, MTX1, MVP, NBN, NDRG1, NLRX1, OPRL1, OSBPL8, OSCAR, P2RX1, PDK3, PFKFB3, PGM1, ACER3, PIM3, PLEKHO2, PLP2, PPP1R3D, PRAM1, QSOX1, RILPL2, RNF144B, RRAGD, RRP12, SHKBP1, SIRPA, SLC37A3, SORT1, SQOR, TACC3, TBC1D2, TEF, THOC5, TM6SF1, TMCO3, TMEM120A, WIPI1, YIPF1, ZBTB34"
"M13.30" "A37" "Erythrocytes" "ABCC13, ADIPOR1, ARL4A, BLVRB, BOAT, NPRL3, CARM1, CES3, YBX3, FBXO9, FIS1, FKBP8, SLC48A1, GLUL, GSPT1, GUK1, GYPC, HAGH, HBM, HBQ1, HPS1, PBX1, PTMS, SHARPIN, SLC25A39, ST6GALNAC4, TMEM86B, UBL7, UBXN6"
"M13.31" "A25" "TBD" "ACTG1, ANXA2, ATG4B, CCM2, CD68, CNN2, CXCR4, DYRK1A, EIF4G2, FBXO7, GTF2IP1, HM13, LOC399942, LOC643446, LOC647195, LOC648024, LOC653994, PGAM1, PLEKHB2, PSMC4, RASSF5, SLC39A3, TSC22D3, VRK3, WDR1"
"M13.32" "A27" "Cell cycle" "ASPM, AURKB, BIRC5, BUB1, PARPBP, CCNA2, CCNE1, CCNE2, CDK1, CDC45, CDKN3, CENPE, CEP55, CHEK1, DLGAP5, HMMR, KIF11, KIF14, KIFC1, MCM10, MCM4, MELK, NCAPG, NUSAP1, OIP5, POLQ, RAD51AP1, RRM2, TK1, ZWINT"
"M13.4" "A2" "Protein synthesis" "ACTR1B, AK3, KDM1A, AP4B1, APOL3, ASNS, ATP8B2, BEXL1, BOP1, RUSF1, C19ORF12, RNF220, HMCES, SLC18B1, SMIM19, THEM6, SPOUT1, CARD11, CCDC45, HDHD5, COPS7B, CPSF1, CSNK1E, DCXR, DDHD2, DEXI, DGKA, DMAP1, DNLZ, ECHS1, EIF2B5, ERCC1, EXOSC8, FAM136A, FN3KRP, GALT, KAT2A, GPD1L, HAX1, HCST, HS.213541, IL18BP, ILF3, IMP4, ITFG2, KLHL22, LARS1, LAT, LCMT1, LETMD1, LOC727820, LOC730256, LSM4, LTA, MAN1B1, MCEE, MEF2D, MRPL11, MRPL41, MRPS18B, MRPS21, MRPS7, MT1X, MTFP1, MUTYH, NAT10, NDUFV1, NICN1, NOP2, NOL6, NSMCE1, NUDT1, PAFAH1B3, PCNT, PEX11B, P4HTM, JADE2, PMPCA, PNPO, POLR2H, PPIH, PSMD8, PTGES2, PUS1, R3HCC1, RAB11FIP3, RANGAP1, RASSF7, RNF216, MRM3, RP9, RPL7L1, RPUSD3, SAMM50, SCAMP3, SCRIB, SF3B3, SLC25A42, SLC41A3, SMAD3, MIEF1, SRPRB, BHLHE40, NELFCD, TMEM138, TMEM150A, TMEM156, TOMM22, TOMM40, TSPAN31, TYSND1, UBE2G2, HAUS7, UQCC1, WDR18, GPN1, UNK, ZNF266, ZNF296"
"M13.5" "A32" "Cell death" "2-Sep, ADPGK, AKAP13, AMD1, ANAPC13, ANKRD11, AP1G1, AP3B1, ARFGEF1, ARID1A, ARPC1A, ASB8, ASH2L, BANP, PRRC2C, CCDC174, CASP9, PPP1R21, CDK19, CHFR, CLP1, CMTM3, COPS7A, COQ10B, CRKL, CTDSP2, CUL4B, DOCK2, DPF2, VPS26C, DUSP22, DYNC1LI2, EIF4G2, ERICH1, FAM120A, FAM120B, FAM131A, FBXO11, FBXO38, GALC, GAPVD1, GATAD2A, GLB1, GNB1, GOLGA5, GPBP1L1, HS.5724, HSBP1, KDM5A, KBTBD2, KCTD5, IST1, MAU2, RALGAPB, KLHL12, LAMP1, LARP4B, LASS2, LOC387820, LOC400890, LOC644033, LOC650152, LOC728556, MARK3, MEMO1, MKKS, MKLN1, FAR1, MTM1, MTMR14, MTRF1L, NBPF11, NCOA6, NECAP1, NUFIP2, NXF1, OXSR1, PAFAH1B1, PARP4, PCF11, PHF2, PHF3, PHKB, PLCG2, PLEKHA2, PPP2R2A, MOB4, PRKAA1, RAB11A, RAE1, RBM25, RCSD1, RIPK1, RNF103, RNF19A, RNF38, SAP130, SCAP, SCLT1, SEMA4D, SENP2, SETD2, SF3B1, AKAP17A, SRSF4, SH3KBP1, SLMAP, SMAD4, SMG1, SPEN, STAMBP, STK38, UBASH3B, STX6, TACC1, TAX1BP1, TBC1D20, TGOLN2, TLK2, TMEM2, TMEM50A, TRIM39, TUG1, UPF2, USP4, USP9X, VEZF1, VPS4B, WDR1, YWHAZ, ZC3H7A, ZDHHC7, ZFAND5, ZNF586"
"M13.6" "A1" "Gene transcription" "AASDHPPT, ACTR6, ADO, TLE5, API5, ARMC1, BBS2, BCL2, BTN3A3, BUB3, ANAPC16, BORCS7, TTC39C, YBEY, TMEM245, CCDC25, CD69, CDC23, CDK4, CDK5RAP1, CNOT7, COPS8, CSTF3, CTSO, CUL5, PBDC1, CYP4V2, OSTC, DCK, DPH5, EBAG9, EP400, EXOSC10, EXOSC6, FAM133B, FAM43A, FARS2, FLJ11171, FLJ20718, FOXK1, FUBP3, FYN, G3BP1, GEMIN4, GLS, GRPEL2, IAH1, IARS2, IBTK, KCTD6, KIAA0355, SKIC3, PRORP, MSANTD4, KTN1, LAGE3, LOC203547, LOC402644, LOC644096, LRBA, LYRM2, MAGED1, MCCC1, METAP1, METTL3, FAM220A, MRI1, MOAP1, MRPL14, MRPL50, MRPL54, MRPS27, MRPS35, MTCP1, MTERF3, MTO1, NCBP2, NFX1, NGDN, SNU13, NOP5/NOP58, NPIP, NUDT21, NUP54, NUP42, MICOS13, PDCD2, PPP1R2, PRKRA, PRMT1, PRMT3, PSIP1, PURA, RABGGTB, RBMX, RDH14, RNMT, RPUSD2, RYK, SDAD1, SERBP1, SRSF7, SIVA1, MTREX, SMAD5, SNUPN, SNURF, SNX4, SP4, SUCLA2, SUCLG2, TCEAL8, THUMPD1, TMED10, TMEM160, TMEM203, TMEM209, TMEM42, TMEM50B, UBE3A, UFM1, WDR75, ZFAND1, ZNF621, ZNF627, ZNF689, ZNHIT3"
"M13.7" "A33" "TBD" "ABHD3, ACSL3, AHCTF1, AKAP13, ANXA11, AP3S1, ARFGAP3, ARFIP1, ARHGAP19, BMAL1, ATP2B4, JKAMP, VCPKMT, TMEM167B, CAMK1D, CAMK2G, CBL, CCDC49, CCNG2, CDC123, ACAP2, CHMP2B, CHUK, CRK, DICER1, DIP2B, DNAJB6, DPYD, DUSP18, DYRK1A, ELMO1, SUPT20H, FEM1C, HBP1, HERC4, HNRNPL, IFNAR2, ITFG1, IVNS1ABP, KDM5B, KDM3B, KIDINS220, KLHL5, KLHL8, LACTB, LASS2, LGALS8, LOC644935, LYST, MANBA, MAP3K8, MAP4K4, ME2, MIER1, MTMR6, NCOA7, NIPBL, NPEPPS, NUAK2, NUP153, OSBPL9, PAM, PANK2, PAPSS1, PELI2, PHF20L1, PTPN12, PTTG1IP, RFFL, RMI1, RNF135, RNF145, SCYL2, SDF2, SENP6, SERINC1, SLK, SMCHD1, SP3, SPAG9, SPAST, ST8SIA4, STAU1, STX7, STXBP3, TBC1D15, TBK1, PIP4P2, TXNRD1, UGP2, USP15, USP38, VCPIP1, WIPF1, XRN2, ZDHHC17, ZNF143, ZSWIM6"
"M13.8" "A3" "TBD" "AMY2A, ANKRA2, ARGLU1, PNISR, CAPRIN2, CCDC14, CCDC84, LUC7L3, CRYZL1, CXORF45, D2HGDH, DIDO1, ENOSF1, FYN, GALK2, GOLGA8B, GSDMB, GUSBP2, HNRNPDL, HS.143408, HS.409512, IL11RA, LOC132241, LOC153561, LOC338799, LOC728565, LOC728888, LOC729559, MZF1, NKTR, NSUN5, NSUN5P2, OGT, PDE7A, PLA2G4B, PLCH2, PRPF4B, RBM6, SEPTIN1, SEPT6, SUGP2, SRSF5, GUSBP14, SNORA25, SNORA70, STAG3L2, TAF1C, TAGLN, TARDBP, TPM2, TTC13, TTC14, VAMP1, WDR33, ZNF83"
"M13.9" "A3" "Gene transcription" "ADAT1, ADNP2, AKAP8, ALG6, ALS2, ANKHD1, ANKRD10, AP4E1, APTX, ARL5A, ATG16L1, ATP11C, ATP2A2, BFAR, BRPF1, EDRF1, SLF2, PROSER1, C16ORF56, POC5, CASP2, CBR4, CCDC77, CDK13, CEBPG, CEP192, CGGBP1, CHCHD7, CNOT6, CSTF3, CTCF, DDX46, DHFR2, DHPS, DHX15, DHX33, EHD4, EIF2S3, EPM2AIP1, ERP27, DESI2, MIOS, FNTA, GALNT11, GNPTAB, HNRNPD, HS.126768, HS.19339, HS.294103, HS.538259, HSPA14, DELE1, KIAA1191, CIPC, KIF13B, KRIT1, LOC400657, LOC650215, MFSD8, MTMR9, MTRR, MUS81, NCOA5, NHLRC3, NONO, NPC1, NRIP1, PDCD6IP, PI4KAP2, PIGA, IPCEF1, PPWD1, PTBP2, RARS2, RBM4B, RHOT2, RWDD4, S100PBP, SEC22C, SEC23IP, SREK1, SRSF2, SKP2, SLC46A3, SMAP1, U2SURP, TBCE, TFCP2, DRAM2, TRAM1, TMX3, UBE3C, UTP14C, WDR7, WDSUB1, ZNF189, ZNF318, ZNF451, ZNF518B"
"M14.1" "A32" "Gene transcription" "ACAD8, ACADVL, PHYKPL, ANKFY1, APBB3, ARHGEF1, ASB8, BRD3, BRD8, MINDY3, ZNF839, CDK7, CLDN15, DAGLB, DGAT1, DIAPH1, ERICH1, IER5, IMPA1, IQGAP2, LOC644799, NADSYN1, NBPF3, NOL12, NUP50, PIGB, PLAGL2, PRKCZ, RIPK3, SLC46A2, SNX14, STIM1, STK19, SULT1A4, TBC1D2B, TNPO3, TNS3, TRIM41, TTC32, UBE4B, USF2, USP34, YTHDF3, ZEB2"
"M14.10" "A26" "TBD" "MPC1, SLIRP, SMIM14, CCDC28A, CD37, COMMD7, DGUOK, SMIM26, NDUFB6, NUDT5, PAG1, PARK7, POLR2G, PSMB6, PTPN1, RHOC, SEC61G, SERPINB6, SLC44A1, SPCS2, SYF2, TM2D1, TMED10P, TMEM87A, VAMP5, VBP1, VKORC1, ZBED1"
"M14.11" "A32" "TBD" "ABI1, C11ORF54, CLK4, CNOT4, COQ2, DNASE1L1, DPP8, EXOC1, FBP1, FBXL3, FEZ2, FHL3, HS.130036, HSD17B12, MAPK8IP3, MTMR4, PRDM8, PSMD1, PSMD12, PSME3, RAP1B, RUNDC1, SLC35E3, SLK, SLU7, STX6, SUSD1, TICAM2"
"M14.12" "A1" "Cell cycle" "AFG3L2, ALG8, ASCC3, C3ORF31, DNPH1, COQ10A, COX10, HS.20255, KIFAP3, LDLRAP1, LOC93622, MPRIP, MAF, MEF2C, KIF20B, MTSS1, NAGPA, PAICS, PARP3, PKIA, HACD3, SRP72, TIMM9, TMEM134, RXYLT1, TRIT1"
"M14.13" "A2" "Oxidative phosphorylation" "MRGBP, CANX, CLEC16A, CLTA, CNOT7, COQ5, CRLS1, DDX42, FBXW7, HSD17B4, EFCAB14, LOC440280, MED20, MGC72104, MRPS31, PBX3, PIGC, PLRG1, PPIG, RALA, DSTYK, RNF5P1, USP39, ZMAT3, ZNF277, RNF115"
"M14.14" "A6" "Protein modification" "AKTIP, CDC40, DEK, DNAJA2, EFR3A, G3BP2, HNRNPM, HSP90AA1, LPP, MAPRE2, MAT2A, STK26, NSL1, NUB1, PNRC2, POLB, PRNP, PUM1, RAB37, SRSF1, SIDT2, SNRK, SNX2, TMEM131, RO60, WDFY1, RNF114"
"M14.15" "A6" "Protein modification" "ARRB1, AUP1, BRD7, AP5M1, DHPS, DPP9, DYNC1H1, FBXO28, FBXO46, LINC00921, KATNA1, KLF11, NUP133, PFKP, PPFIBP2, PTPN22, PTPRA, SEC24B, SLC25A46, TATDN3, TM9SF3, TTC31, UBAP2L, VAMP2, ZNF271P"
"M14.16" "A24" "TBD" "C17ORF49, HENMT1, CD99L2, CLTA, COMT, CYC1, DBNDD2, DHRS1, ERH, FAM50A, FKBP11, GUSB, HERPUD1, HPRT1, ITGB4BP, KLHDC3, PIN1, POLE4, PPP2R5C, PSMC6, RPS29, STX4, SYT11, TBCB, TMEM173, UBLCP1"
"M14.17" "A2" "Gene transcription" "CABIN1, CHM, CSNK2A2, CWF19L2, ETFDH, EXOSC10, ABHD17B, FAM98A, NAXD, GTF3C3, HIBCH, IQCB1, AEN, KBTBD8, KLHL42, ORC3, POLG, PRKX, PSMA2, RASSF1, SDF4, SLC30A9, SNX5, TNRC6A, TWSG1, ZNF419"
"M14.18" "A32" "TBD" "AKT1, CPNE3, CTDSP1, CTSC, ENY2, FEZ2, GLB1, GPR65, HBP1, JARID2, KIAA1267, NCK2, NFE2L2, P4HB, PHIP, REEP5, RPS6KA5, SH2B3, SH2D3C, SLC38A2, SMS, SSR1, TPP1, TWF2, YY1"
"M14.19" "A33" "Inflammation" "ACOX1, ARRB2, C9ORF164, FRAT1, GAB2, HCG27, IFRD1, IL17RA, JUNB, PLPPR2, LTBR, MAN2A2, MTARC1, PHC2, RAB24, RERE, RGL2, RNF19B, SBNO2, SLC16A5, SLCO3A1, TREML2, WWC3"
"M14.2" "A2" "Protein synthesis" "AGL, DMAC2, GPN2, BRD7, BRI3BP, MIS18BP1, C16ORF63, C1ORF131, ERLEC1, CBFB, CRELD2, DSTN, EIF2B2, DENND6A, FRYL, NIPSNAP2, GTF3C2, HAT1, IMMT, ING3, ITGAE, ITGB1BP1, KLHL24, LOC219854, MRPS15, NCK1, PITPNC1, PLOD3, PRPF4, PTRH2, RBM17, RBM42, RNGTT, SNRNP27, SIRT1, SMARCC2, SRP19, SS18, TMUB1, TNFSF12, UQCRH, USP42, YTHDF2, ZDHHC6"
"M14.20" "A1" "Gene transcription" "ACTL6A, NAXE, COG2, CRYZ, CYP20A1, FLNB, FTSJ1, GPX7, HDDC3, HS.579530, EIF2D, LOC642755, NDUFAF2, NHP2, NPM3, RBM12, SCOC, CWC27, SERF1B, SHPK, SIGIRR, SMARCE1, DYNLT2B, THYN1"
"M14.21" "A26" "TBD" "AMY1A, C18ORF21, CCZ1, CLIC4, DR1, EXOSC3, GARS1, ISY1, LOC646900, LOC654121, MAD2L1BP, MCM6, MED4, MRPL44, MT1F, PPA2, PPP2CB, RPL34, RTCA, SEC23B, SNTB1, TMED7, ZFAND6"
"M14.22" "A32" "TBD" "ADAM19, BTN2A1, DGLUCY, CCM2, CD68, CXCR4, EGLN2, WASHC1, TENT5A, GAK, GLIPR1, HGS, LOC389541, NDE1, PAK2, CYTIP, RBM23, SLC44A2, TAPBP, TCF25, TMEM43, TNK2, WTAP"
"M14.23" "A1" "Gene transcription" "BTF3L4, CKS2, COPZ1, DBT, GIMAP2, GNL3, IMPDH2, KARS1, LOC728492, MGMT, NACAP1, NUDT2, PCCB, PEX16, PHPT1, POLR2I, PRPSAP2, RBM34, RPL23A, SIRPG, UBE2E2, UQCRC2, UTP3, VIPR1"
"M14.24" "A33" "Inflammation" "ABCA7, ACVR1B, CBL, CCNY, CIDEB, CSNK1D, CTNNA1, GRB2, GSK3B, HMGCR, HSPBAP1, LOC644330, MBOAT1, LPCAT3, NLRP3, PSTPIP1, RAB2A, RBPJ, SHOC2, SNX11, PGAP6, TPST2, ZNF319"
"M14.25" "A2" "TBD" "ALG3, RITA1, CD81, CENPB, DGCR6, DPP7, FASN, FKBP2, GNL1, HADH2, IL12RB1, ITPA, KRTCAP2, LOC391811, MRPS12, NSDHL, PDXP, PPM1G, TMED3, TMEM141, YIF1A, ZNF668"
"M14.26" "A33" "Inflammation" "ATP6V1A, BAZ2B, C3ORF62, CMTM6, DHX34, HS.413494, HS.537004, IDS, GPCPD1, NCOA1, OSBPL2, PLXDC2, RASSF2, RFWD2, SEC14L1, SLC15A4, ST8SIA4, STXBP5, CNEP1R1, VMP1, UBR2, ZFYVE16"
"M14.27" "A25" "Protein synthesis" "ACTB, WBP1L, C1ORF43, CCZ1, CCZ1B, CCR2, DNAJB6, DUSP22, G3BP2, GIT2, LOC644774, LOC732007, MAD2L1BP, POTEM, PGAM1, PGAM4, PSMB8, TRIM5, VCL, YME1L1, ZC3HAV1"
"M14.28" "A35" "Neutrophils" "AGTRAP, BST1, VPS9D1, APMAP, DRAM1, FCER1G, PLBD1, FLOT1, ITGAM, KIF1B, LILRA3, METTL9, MMP25, NQO2, OSCAR, PGD, SERPINA1, SLC2A3, SMARCD3, TSPO"
"M14.29" "A32" "TBD" "CDC5L, CEPT1, DNAJB1, GNPAT, GORASP1, HNRNPH3, INTS8, LRRC37B, MANBAL, MON2, PRMT2, PTK2, RIPK2, RNF31, SAFB2, SEPTIN7, SRBD1, SYTL1, TRAK1, UPF2, USP8, ZFYVE26"
"M14.3" "A2" "Protein modification" "ADD3, AP1G2, BBX, MAPK1IP1L, CKAP5, NELFB, DCTN5, DDX56, DNAL4, EFTUD2, FAM133B, FAM53B, GOLGA3, HDAC3, HS.294603, LARP7, LMF2, MGAT2, MTDH, PILRB, PTPN11, PYCR2, RABEP1, RARS1, RASSF1, RBM15, SAFB2, SDHA, SMARCD1, STARD7, SUPT16H, TCF20, TDG, TRRAP, TUFM, USP1, WDR59, XYLT2, ZFR"
"M14.30" "A24" "Oxidative phosphorylation" "LBHD1, COX6C, DDT, HIGD2A, TRMT112, LOC283951, NAA38, MRPL20, MRPL53, NDUFA11, PDE6D, RPS19BP1, RPS21, GEMIN2, SSR2, SSR4, EMC6, UQCRH, UQCRQ, VPS25, ZNRD1"
"M14.31" "A3" "Cell cycle" "AARSD1, ACYP1, ANAPC4, AP3M2, CDK10, ECHDC2, EML4, ITPR3, LIG1, LOC728734, LUC7L, METTL17, MLLT6, MTMR10, NAT9, NSUN5P1, PAN2, N4BP2L2, RAB3IP, RABL2B, SLC7A6, ZDHHC8"
"M14.32" "A26" "TBD" "LAMTOR1, GSKIP, TMA7, CD48, CGRRF1, CHCHD1, COX7A2, CRADD, CRIPT, CIAO2A, FKBP1A, GSTO1, HIGD1A, LOC645058, LSM1, NDUFA4, NDUFB6, RHEB, STARD3NL, TAF10, TMEM60, VPS29"
"M14.33" "A30" "Proteolysis" "ARID4B, BCLAF1, BIRC3, SLX4IP, C6ORF204, CAST, KYAT3, CREBBP, UBN2, FLJ32255, ITPRIPL2, LOC654069, NBPF14, NBPF20, PTPRC, RNF19A, SPATA13, UHMK1, WHAMM, YTHDC1, ZFP91, ZNF699"
"M14.34" "A2" "Gene transcription" "C10ORF88, MEAF6, LDAH, ERMP1, FASTKD1, FBXL12, HSCB, LAS1L, LOC90826, MPHOSPH6, MTX2, PARP2, POLD1, PPAT, PXMP2, RPP38, RTN4IP1, SACS, SLC33A1, TSFM, ZBTB3"
"M14.35" "A2" "TBD" "AGA, ARHGAP17, ATP6V0A2, ATPIF1, TOX2, DAZAP1, EEF2K, ENO2, LSS, LUZP1, PPP1R14A, PPP1R8, REXO4, RIOK2, PHAX, SELENOS, SIRT5, SPIN4, SQLE, UQCR10"
"M14.36" "A32" "TBD" "ARID4A, CDH23, CHD7, CNOT8, DIAPH2, DPP8, DPY19L1, FAM156A, CASTOR3P, HELZ, RELCH, LOC221442, LOC653103, PRKAA1, SETDB1, SFRS2IP, SUOX, TNPO1, U2AF1, UBR5"
"M14.37" "A6" "TBD" "ANKZF1, ATP2B1, BCOR, TTPAL, CRIPAK, DCP1A, DENND4C, TECPR1, GFOD1, GON4L, HMGCS1, KLHL28, MMUT, N4BP2L1, NFE2L1, NUP93, POFUT2, SUGP2, TGDS"
"M14.38" "A31" "TBD" "AHCTF1, C3ORF34, DPEP3, EXTL3, F2RL1, WLS, HAL, H2BC4, HS.144312, HSPA6, NDEL1, PANX2, REPS2, SLC45A4, SPAG9, TNFAIP2, ZDHHC18"
"M14.39" "A34" "Cell cycle" "ARHGAP21, C1ORF198, CDKN1A, CTSA, FAH, C12orf76, GP6, H2BC8, H3C7, H3C10, LAPTM4B, BEX3, PDLIM1, PRUNE1, TAX1BP3, ANO6, TMEM185A, TCEAL9"
"M14.4" "A1" "Gene transcription" "ACO1, ALKBH3, APOBEC3F, ARV1, BBS2, BCL7C, C21ORF59, EOLA2, DDX50, DYRK4, ELP2, EXOSC7, GSPT2, LAX1, LLGL1, LONP1, MDC1, MLLT11, MRPS9, MTERF3, NET1, NOL8, NSUN4, PIH1D1, POLR1C, PRKCA, QDPR, RNASEH1, DROSHA, SP4, TBRG4, TCEAL3, UNG, UPF3A, UPRT, VPS45, ZNF211, ZNF644"
"M14.40" "A6" "Cellular respiration" "ANXA2P1, DDX39B, CNOT1, CS, DGUOK, DPM1, DPY30, DRAP1, MICU2, HIGD1A, LIPA, NDUFV2, PDE4B, PPCS, PTGES3, SMARCA2, VHL, WRNIP1, YTHDC1"
"M14.41" "A24" "TBD" "BRD2, RSL24D1, TMEM230, CSTB, DBI, DECR1, ELF1, GSTK1, LOC374395, MAP4K2, MAPKAPK3, NDUFB5, RAB8A, SEC61G, SLC25A3, SYF2, TPI1, TRMT5, UBE2I"
"M14.42" "A1" "T cells" "ABLIM1, CCR7, CD7, CDC25B, CLSTN1, ESYT1, FBL, GRAP, ITGB7, LEF1, LIME1, MAP4K1, MXD4, PTPRCAP, RFTN1, RPS23, RUNX3, SLAMF6, VEGFB"
"M14.43" "A3" "TBD" "CD84, DDX27, DFFA, GMEB1, IKZF1, TESPA1, LOC642333, TENT4B, PCYOX1, PDPR, SEPT6, SCAF4, SLC25A36, SLFN5, SLTM, TTC17, ZNF234, ZNF275"
"M14.44" "A2" "Protein synthesis" "GON7, COMMD2, CYP20A1, DCUN1D5, DDX52, GRPEL1, HMGB1, KPNA3, LARP4, BLOC1S5, ORC2, LRR1, SMARCA5, STX2, TRMT12, XRCC6BP1, ZMYM4, ZNF75D"
"M14.45" "A2" "TBD" "ACADM, ARID5B, ATP1A1, C20ORF55, CYB561A3, DUSP11, DUSP12, FRG1, HSPH1, SEL1L3, LOC642236, LOC653438, MRPL18, SELENOW, SRP68, TMX2, UBE2V2, ZNF581"
"M14.46" "A3" "TBD" "ADSS2, AP3M1, ATAD1, BCL7B, CDKN2AIP, CNOT6L, CRBN, DHX15, DYM, HMGN1, HPS5, KCTD18, KHDRBS1, LOC729148, MGAT4A, SLC30A5, TRAK1, ZNF330"
"M14.47" "A2" "Protein synthesis" "ASMTL, BOLA2, OXLD1, DNAJC8, FBXW4, RASAL3, RRP8, LOC113386, MEPCE, NIT2, PARN, PRICKLE4, QARS1, RNF126, RPS9, SUN2, ZNF317, ZP3"
"M14.48" "A31" "Inflammation" "JAML, ARHGAP9, ATP6V1B2, CTSS, DEF8, DPEP2, FCGRT, ICAM3, IDS, MAP1LC3A, MAST3, MYADM, NUP214, PILRA, PLEKHG3, RAB11FIP1, STK40"
"M14.49" "A1" "Gene transcription" "APRT, CCT7, CD79B, CUTA, GIMAP1, HNRPA1L-2, HNRNPA1P4, LOC136143, LOC388275, LOC641849, LOC643997, LOC645018, LOC653820, LOC728643, RPLP0, SDF2L1, SLC41A3, SNRPN"
"M14.5" "A1" "Gene transcription" "BANF1, BOLA2, CHCHD10, ATRAID, RBIS, PAXX, CCT8, CUTA, EIF3D, EIF3I, EIF3M, GIMAP2, HMGN1, HMGN4, HS.572219, LOC642934, LOC646849, MARCKSL1, MRFAP1L1, NDUFS3, NDUFS8, NGRN, NME1-NME2, NUP62, PIGY, POLE3, PSMG2, RING1, RPA2, SAE1, TRA2B, THAP11, TMEM14C, TUBB, XRCC6, ZNF428"
"M14.50" "A33" "Inflammation" "CD46, F11R, FCGR3B, FTH1P12, FTHL2, HIF1A, IDS, LOC347376, LOC440926, LOC653604, LRRK2, MEFV, PHF20L1, RAB33B, SNAP23, SNX10, TLR1, ZFP36L1"
"M14.51" "A36" "Oxidative stress" "ATP5F1EP2, BTF3, EIF3B, DESI1, GPX4, HS.374257, MED16, MYL6, PRDX5, SH3BGRL3, ST3GAL1, TM7SF2, UNC45A, VPS28"
"M14.52" "A3" "TBD" "CAPN12, DNM1L, DYRK2, FAM107B, FLJ45909, LOC650737, PCSK5, PHACTR2, RABGAP1, RECQL, RPAP2, RSPRY1, SRFBP1, TM7SF3, UPF3A, USP14, ZNF562"
"M14.53" "A37" "Erythrocytes" "MARCHF8, BCL2L1, BSG, CDC34, CHPT1, FHL2, GLRX5, IGF2BP2, KLF1, LOC650832, LOC653778, LOC654103, MAP2K3, RBM38, RIOK3, TMEM63B"
"M14.54" "A6" "Cell cycle" "ATP11C, CAAP1, NSRP1, HCFC2, HS.415576, VWA8, LZTFL1, MPHOSPH9, NEK1, NME7, PDP1, PUS7, SAV1, SCYL3, TMEM135, UBA5, ZNF197, ZNF227"
"M14.55" "A6" "Gene transcription" "TRIR, MGME1, CALML4, CBX6, DEF6, DNAJB11, EDF1, HPS6, INSIG1, MCRS1, MED22, MTIF3, NDUFB7, SIN3A, TMEM175, TMEM205, UBA7"
"M14.56" "A32" "TBD" "APBB3, BTK, RESF1, RSRP1, DTX2, RIPOR1, INPPL1, ITGA5, PARP8, PDXK, PIAS1, RAD21, RBM33, RNF44, SKIV2L, SLC8B1, TNFRSF10B"
"M14.57" "A24" "Protein modification" "ALG13, ARMCX6, EBPL, ENSA, ERP29, EXOSC3, FBXO8, G3BP2, LAIR2, LOC646567, MORF4L2, PRNP, RNASE6, RPL9, SLBP, WTAP"
